scenarioId,scenarioName,timeSlot,localDeparture,departureAt,timeZone,provider,executionMode,status,errorCode,matrixCompleteness,matrixResponseMs,optimizationMs,cacheHit,externalRequestCount,matrixElementsBilled,estimatedCost,currency,recommendedOrder,totalWorkMinutes,drivingMinutes,distanceKm,tonneKilometers,lateMinutes,waitingMinutes,directionalityPenalty,score,warnings
"vilnius-center","Miesto centras, trumpos atkarpos","morning","07:30","2026-08-03T04:30:00.000Z","Europe/Vilnius","here","cache-only","error","CACHE_MISS","","","","false","0","0","","","","","","","","","","","",""
"vilnius-center","Miesto centras, trumpos atkarpos","morning","07:30","2026-08-03T04:30:00.000Z","Europe/Vilnius","google","cache-only","error","CACHE_MISS","","","","false","0","0","","","","","","","","","","","",""
"vilnius-east","Rytinė Vilniaus dalis","morning","07:30","2026-08-03T04:30:00.000Z","Europe/Vilnius","here","cache-only","error","CACHE_MISS","","","","false","0","0","","","","","","","","","","","",""
"vilnius-east","Rytinė Vilniaus dalis","morning","07:30","2026-08-03T04:30:00.000Z","Europe/Vilnius","google","cache-only","error","CACHE_MISS","","","","false","0","0","","","","","","","","","","","",""
"vilnius-west","Vakarinė Vilniaus dalis","morning","07:30","2026-08-03T04:30:00.000Z","Europe/Vilnius","here","cache-only","error","CACHE_MISS","","","","false","0","0","","","","","","","","","","","",""
"vilnius-west","Vakarinė Vilniaus dalis","morning","07:30","2026-08-03T04:30:00.000Z","Europe/Vilnius","google","cache-only","error","CACHE_MISS","","","","false","0","0","","","","","","","","","","","",""
"vilnius-north","Šiaurinė miesto dalis","morning","07:30","2026-08-03T04:30:00.000Z","Europe/Vilnius","here","cache-only","error","CACHE_MISS","","","","false","0","0","","","","","","","","","","","",""
"vilnius-north","Šiaurinė miesto dalis","morning","07:30","2026-08-03T04:30:00.000Z","Europe/Vilnius","google","cache-only","error","CACHE_MISS","","","","false","0","0","","","","","","","","","","","",""
"vilnius-south-industrial","Pietinė ir pramoninė dalis","morning","07:30","2026-08-03T04:30:00.000Z","Europe/Vilnius","here","cache-only","error","CACHE_MISS","","","","false","0","0","","","","","","","","","","","",""
"vilnius-south-industrial","Pietinė ir pramoninė dalis","morning","07:30","2026-08-03T04:30:00.000Z","Europe/Vilnius","google","cache-only","error","CACHE_MISS","","","","false","0","0","","","","","","","","","","","",""
"vilnius-lentvaris-grigiskes","Lentvario ir Grigiškių kryptis","morning","07:30","2026-08-03T04:30:00.000Z","Europe/Vilnius","here","cache-only","error","CACHE_MISS","","","","false","0","0","","","","","","","","","","","",""
