scenarioId,scenarioName,timeSlot,localDeparture,departureAt,timeZone,provider,executionMode,status,errorCode,matrixCompleteness,matrixResponseMs,optimizationMs,cacheHit,externalRequestCount,matrixElementsBilled,estimatedCost,currency,recommendedOrder,totalWorkMinutes,drivingMinutes,distanceKm,tonneKilometers,lateMinutes,waitingMinutes,directionalityPenalty,score,warnings
"vilnius-center","Miesto centras, trumpos atkarpos","morning","07:30","2026-08-03T04:30:00.000Z","Europe/Vilnius","Google Routes","real","success","","0.84375","337.088","63.531","false","1","64","","","vilnius-center-stop-3|vilnius-center-stop-4|vilnius-center-stop-5|vilnius-center-stop-6|vilnius-center-stop-1|vilnius-center-stop-2","140.033","82.033","34.95","14.539","0","0","5.985","0.03","Google matricoje yra nepasiekiamų arba klaidingų atkarpų.|Google Routes Matrix nepalaiko sunkvežimio matmenų ir kelių apribojimų šiame adapteryje.|Google Routes Matrix nepateikia palyginamos manevrų metrikos."
"vilnius-east","Rytinė Vilniaus dalis","morning","07:30","2026-08-03T04:30:00.000Z","Europe/Vilnius","Google Routes","real","success","","0.8888888888888888","188.729","60.881","false","1","81","","","vilnius-east-stop-1|vilnius-east-stop-6|vilnius-east-stop-5|vilnius-east-stop-4|vilnius-east-stop-3|vilnius-east-stop-2|vilnius-east-stop-7","182.667","106.667","53.026","44.823","0","0","7.82","0.071","Google matricoje yra nepasiekiamų arba klaidingų atkarpų.|Google Routes Matrix nepalaiko sunkvežimio matmenų ir kelių apribojimų šiame adapteryje.|Google Routes Matrix nepateikia palyginamos manevrų metrikos."
"vilnius-west","Vakarinė Vilniaus dalis","morning","07:30","2026-08-03T04:30:00.000Z","Europe/Vilnius","Google Routes","real","success","","0.875","185.414","31.33","false","1","64","","","vilnius-west-stop-6|vilnius-west-stop-1|vilnius-west-stop-5|vilnius-west-stop-4|vilnius-west-stop-2|vilnius-west-stop-3","124.233","53.233","27.469","29.378","0","0","8.947","0.167","Google matricoje yra nepasiekiamų arba klaidingų atkarpų.|Google Routes Matrix nepalaiko sunkvežimio matmenų ir kelių apribojimų šiame adapteryje.|Google Routes Matrix nepateikia palyginamos manevrų metrikos."
"vilnius-north","Šiaurinė miesto dalis","morning","07:30","2026-08-03T04:30:00.000Z","Europe/Vilnius","Google Routes","real","success","","0.8888888888888888","169.823","78.964","false","1","81","","","vilnius-north-stop-3|vilnius-north-stop-1|vilnius-north-stop-2|vilnius-north-stop-5|vilnius-north-stop-6|vilnius-north-stop-7|vilnius-north-stop-4","159.367","82.367","45.188","28.704","0","0","22.636","0.091","Google matricoje yra nepasiekiamų arba klaidingų atkarpų.|Google Routes Matrix nepalaiko sunkvežimio matmenų ir kelių apribojimų šiame adapteryje.|Google Routes Matrix nepateikia palyginamos manevrų metrikos."
"vilnius-south-industrial","Pietinė ir pramoninė dalis","morning","07:30","2026-08-03T04:30:00.000Z","Europe/Vilnius","Google Routes","real","success","","0.84375","166.129","33.997","false","1","64","","","vilnius-south-industrial-stop-5|vilnius-south-industrial-stop-4|vilnius-south-industrial-stop-6|vilnius-south-industrial-stop-1|vilnius-south-industrial-stop-3|vilnius-south-industrial-stop-2","161.683","86.683","53.931","46.646","0","0","14.629","0.24","Google matricoje yra nepasiekiamų arba klaidingų atkarpų.|Google Routes Matrix nepalaiko sunkvežimio matmenų ir kelių apribojimų šiame adapteryje.|Google Routes Matrix nepateikia palyginamos manevrų metrikos."
"vilnius-lentvaris-grigiskes","Lentvario ir Grigiškių kryptis","morning","07:30","2026-08-03T04:30:00.000Z","Europe/Vilnius","Google Routes","real","success","","0.875","134.365","37.13","false","1","64","","","vilnius-lentvaris-grigiskes-stop-6|vilnius-lentvaris-grigiskes-stop-5|vilnius-lentvaris-grigiskes-stop-4|vilnius-lentvaris-grigiskes-stop-3|vilnius-lentvaris-grigiskes-stop-2|vilnius-lentvaris-grigiskes-stop-1","138.133","68.133","45.562","31.288","0","0","13.162","0.18","Google matricoje yra nepasiekiamų arba klaidingų atkarpų.|Google Routes Matrix nepalaiko sunkvežimio matmenų ir kelių apribojimų šiame adapteryje.|Google Routes Matrix nepateikia palyginamos manevrų metrikos."
"vilnius-avizieniai","Avižienių kryptis","morning","07:30","2026-08-03T04:30:00.000Z","Europe/Vilnius","Google Routes","real","success","","0.8888888888888888","135.23","63.084","false","1","81","","","vilnius-avizieniai-stop-6|vilnius-avizieniai-stop-4|vilnius-avizieniai-stop-3|vilnius-avizieniai-stop-5|vilnius-avizieniai-stop-2|vilnius-avizieniai-stop-1|vilnius-avizieniai-stop-7","154.133","81.133","54.468","44.06","0","0","17.978","0.059","Google matricoje yra nepasiekiamų arba klaidingų atkarpų.|Google Routes Matrix nepalaiko sunkvežimio matmenų ir kelių apribojimų šiame adapteryje.|Google Routes Matrix nepateikia palyginamos manevrų metrikos."
"vilnius-mixed","Mišrus miesto ir užmiesčio maršrutas","morning","07:30","2026-08-03T04:30:00.000Z","Europe/Vilnius","Google Routes","real","success","","0.9","178.817","84.365","false","1","100","","","vilnius-mixed-stop-7|vilnius-mixed-stop-3|vilnius-mixed-stop-1|vilnius-mixed-stop-4|vilnius-mixed-stop-2|vilnius-mixed-stop-8|vilnius-mixed-stop-6|vilnius-mixed-stop-5","251.883","163.883","94.422","63.642","0","0","43.398","0.049","Google matricoje yra nepasiekiamų arba klaidingų atkarpų.|Google Routes Matrix nepalaiko sunkvežimio matmenų ir kelių apribojimų šiame adapteryje.|Google Routes Matrix nepateikia palyginamos manevrų metrikos."
"vilnius-center","Miesto centras, trumpos atkarpos","midday","10:30","2026-08-03T07:30:00.000Z","Europe/Vilnius","Google Routes","real","success","","0.84375","108.207","30.805","false","1","64","","","vilnius-center-stop-3|vilnius-center-stop-4|vilnius-center-stop-5|vilnius-center-stop-6|vilnius-center-stop-1|vilnius-center-stop-2","136","78","34.95","14.539","0","0","5.985","0.03","Google matricoje yra nepasiekiamų arba klaidingų atkarpų.|Google Routes Matrix nepalaiko sunkvežimio matmenų ir kelių apribojimų šiame adapteryje.|Google Routes Matrix nepateikia palyginamos manevrų metrikos."
"vilnius-east","Rytinė Vilniaus dalis","midday","10:30","2026-08-03T07:30:00.000Z","Europe/Vilnius","Google Routes","real","success","","0.8888888888888888","145.761","52.334","false","1","81","","","vilnius-east-stop-1|vilnius-east-stop-6|vilnius-east-stop-5|vilnius-east-stop-4|vilnius-east-stop-3|vilnius-east-stop-2|vilnius-east-stop-7","171.217","95.217","53.026","44.823","0","0","7.82","0.035","Google matricoje yra nepasiekiamų arba klaidingų atkarpų.|Google Routes Matrix nepalaiko sunkvežimio matmenų ir kelių apribojimų šiame adapteryje.|Google Routes Matrix nepateikia palyginamos manevrų metrikos."
