scenarioId,scenarioName,timeSlot,localDeparture,departureAt,timeZone,provider,executionMode,status,errorCode,matrixCompleteness,matrixResponseMs,optimizationMs,cacheHit,externalRequestCount,matrixElementsBilled,estimatedCost,currency,recommendedOrder,totalWorkMinutes,drivingMinutes,distanceKm,tonneKilometers,lateMinutes,waitingMinutes,directionalityPenalty,score,warnings
"vilnius-center","Miesto centras, trumpos atkarpos","morning","07:30","2026-08-03T04:30:00.000Z","Europe/Vilnius","synthetic:city_traffic","synthetic","success","","1","1.333","102.449","false","0","0","","","vilnius-center-stop-3|vilnius-center-stop-4|vilnius-center-stop-5|vilnius-center-stop-6|vilnius-center-stop-1|vilnius-center-stop-2","109.835","51.835","31.965","12.975","0","0","5.985","0.105","Sintetinė matrica: rezultatai nėra realaus kelių tiekėjo duomenys."
"vilnius-center","Miesto centras, trumpos atkarpos","morning","07:30","2026-08-03T04:30:00.000Z","Europe/Vilnius","synthetic:asymmetric","synthetic","success","","1","0.295","74.634","false","0","0","","","vilnius-center-stop-3|vilnius-center-stop-4|vilnius-center-stop-1|vilnius-center-stop-5|vilnius-center-stop-6|vilnius-center-stop-2","119.49","61.49","48.837","27.995","0","0","6.287","0.062","Sintetinė matrica: rezultatai nėra realaus kelių tiekėjo duomenys."
"vilnius-east","Rytinė Vilniaus dalis","morning","07:30","2026-08-03T04:30:00.000Z","Europe/Vilnius","synthetic:city_traffic","synthetic","success","","1","0.27","120.237","false","0","0","","","vilnius-east-stop-1|vilnius-east-stop-6|vilnius-east-stop-5|vilnius-east-stop-4|vilnius-east-stop-3|vilnius-east-stop-2|vilnius-east-stop-7","147.032","71.032","43.806","35.324","0","0","7.82","0.049","Sintetinė matrica: rezultatai nėra realaus kelių tiekėjo duomenys."
"vilnius-east","Rytinė Vilniaus dalis","morning","07:30","2026-08-03T04:30:00.000Z","Europe/Vilnius","synthetic:asymmetric","synthetic","success","","1","0.245","119.325","false","0","0","","","vilnius-east-stop-7|vilnius-east-stop-2|vilnius-east-stop-3|vilnius-east-stop-4|vilnius-east-stop-5|vilnius-east-stop-6|vilnius-east-stop-1","196.269","120.269","92.963","104.916","0","0","7.82","0.084","Sintetinė matrica: rezultatai nėra realaus kelių tiekėjo duomenys."
"vilnius-west","Vakarinė Vilniaus dalis","morning","07:30","2026-08-03T04:30:00.000Z","Europe/Vilnius","synthetic:city_traffic","synthetic","success","","1","0.213","74.599","false","0","0","","","vilnius-west-stop-6|vilnius-west-stop-1|vilnius-west-stop-2|vilnius-west-stop-5|vilnius-west-stop-4|vilnius-west-stop-3","101.204","30.204","18.626","18.882","0","0","1.219","0.089","Sintetinė matrica: rezultatai nėra realaus kelių tiekėjo duomenys."
"vilnius-west","Vakarinė Vilniaus dalis","morning","07:30","2026-08-03T04:30:00.000Z","Europe/Vilnius","synthetic:asymmetric","synthetic","success","","1","0.156","65.752","false","0","0","","","vilnius-west-stop-6|vilnius-west-stop-1|vilnius-west-stop-2|vilnius-west-stop-5|vilnius-west-stop-4|vilnius-west-stop-3","97.487","26.487","20.873","21.967","0","0","1.219","0.102","Sintetinė matrica: rezultatai nėra realaus kelių tiekėjo duomenys."
"vilnius-north","Šiaurinė miesto dalis","morning","07:30","2026-08-03T04:30:00.000Z","Europe/Vilnius","synthetic:city_traffic","synthetic","success","","1","0.248","135.194","false","0","0","","","vilnius-north-stop-1|vilnius-north-stop-3|vilnius-north-stop-2|vilnius-north-stop-4|vilnius-north-stop-6|vilnius-north-stop-5|vilnius-north-stop-7","145.275","68.275","42.103","28.406","0","0","23.503","0.082","Sintetinė matrica: rezultatai nėra realaus kelių tiekėjo duomenys."
"vilnius-north","Šiaurinė miesto dalis","morning","07:30","2026-08-03T04:30:00.000Z","Europe/Vilnius","synthetic:asymmetric","synthetic","success","","1","0.227","150.693","false","0","0","","","vilnius-north-stop-3|vilnius-north-stop-1|vilnius-north-stop-2|vilnius-north-stop-5|vilnius-north-stop-6|vilnius-north-stop-7|vilnius-north-stop-4","177.612","100.612","75.282","57.283","0","0","22.636","0.123","Sintetinė matrica: rezultatai nėra realaus kelių tiekėjo duomenys."
"vilnius-south-industrial","Pietinė ir pramoninė dalis","morning","07:30","2026-08-03T04:30:00.000Z","Europe/Vilnius","synthetic:city_traffic","synthetic","success","","1","0.486","81.171","false","0","0","","","vilnius-south-industrial-stop-4|vilnius-south-industrial-stop-5|vilnius-south-industrial-stop-6|vilnius-south-industrial-stop-1|vilnius-south-industrial-stop-3|vilnius-south-industrial-stop-2","128.796","53.796","33.174","23.996","0","0","11.26","0.147","Sintetinė matrica: rezultatai nėra realaus kelių tiekėjo duomenys."
"vilnius-south-industrial","Pietinė ir pramoninė dalis","morning","07:30","2026-08-03T04:30:00.000Z","Europe/Vilnius","synthetic:asymmetric","synthetic","success","","1","0.112","85.204","false","0","0","","","vilnius-south-industrial-stop-5|vilnius-south-industrial-stop-4|vilnius-south-industrial-stop-6|vilnius-south-industrial-stop-1|vilnius-south-industrial-stop-3|vilnius-south-industrial-stop-2","123.892","48.892","39.915","33.99","0","0","14.629","0.162","Sintetinė matrica: rezultatai nėra realaus kelių tiekėjo duomenys."
"vilnius-lentvaris-grigiskes","Lentvario ir Grigiškių kryptis","morning","07:30","2026-08-03T04:30:00.000Z","Europe/Vilnius","synthetic:city_traffic","synthetic","success","","1","0.142","71.762","false","0","0","","","vilnius-lentvaris-grigiskes-stop-1|vilnius-lentvaris-grigiskes-stop-2|vilnius-lentvaris-grigiskes-stop-6|vilnius-lentvaris-grigiskes-stop-5|vilnius-lentvaris-grigiskes-stop-4|vilnius-lentvaris-grigiskes-stop-3","128.203","58.203","35.892","27.154","0","0","8.836","0.054","Sintetinė matrica: rezultatai nėra realaus kelių tiekėjo duomenys."
"vilnius-lentvaris-grigiskes","Lentvario ir Grigiškių kryptis","morning","07:30","2026-08-03T04:30:00.000Z","Europe/Vilnius","synthetic:asymmetric","synthetic","success","","1","0.132","75.628","false","0","0","","","vilnius-lentvaris-grigiskes-stop-1|vilnius-lentvaris-grigiskes-stop-2|vilnius-lentvaris-grigiskes-stop-6|vilnius-lentvaris-grigiskes-stop-5|vilnius-lentvaris-grigiskes-stop-4|vilnius-lentvaris-grigiskes-stop-3","128.868","58.868","47.733","28.154","0","0","8.836","0.06","Sintetinė matrica: rezultatai nėra realaus kelių tiekėjo duomenys."
"vilnius-avizieniai","Avižienių kryptis","morning","07:30","2026-08-03T04:30:00.000Z","Europe/Vilnius","synthetic:city_traffic","synthetic","success","","1","0.144","120.142","false","0","0","","","vilnius-avizieniai-stop-1|vilnius-avizieniai-stop-2|vilnius-avizieniai-stop-3|vilnius-avizieniai-stop-4|vilnius-avizieniai-stop-5|vilnius-avizieniai-stop-6|vilnius-avizieniai-stop-7","145.817","60.437","37.27","32.957","0","12.38","9.367","0.076","Sintetinė matrica: rezultatai nėra realaus kelių tiekėjo duomenys."
"vilnius-avizieniai","Avižienių kryptis","morning","07:30","2026-08-03T04:30:00.000Z","Europe/Vilnius","synthetic:asymmetric","synthetic","success","","1","0.093","112.967","false","0","0","","","vilnius-avizieniai-stop-1|vilnius-avizieniai-stop-2|vilnius-avizieniai-stop-3|vilnius-avizieniai-stop-4|vilnius-avizieniai-stop-5|vilnius-avizieniai-stop-6|vilnius-avizieniai-stop-7","146.169","68.388","49.643","49.376","0","4.781","9.367","0.14","Sintetinė matrica: rezultatai nėra realaus kelių tiekėjo duomenys."
"vilnius-mixed","Mišrus miesto ir užmiesčio maršrutas","morning","07:30","2026-08-03T04:30:00.000Z","Europe/Vilnius","synthetic:city_traffic","synthetic","success","","1","0.234","203.982","false","0","0","","","vilnius-mixed-stop-7|vilnius-mixed-stop-3|vilnius-mixed-stop-2|vilnius-mixed-stop-8|vilnius-mixed-stop-1|vilnius-mixed-stop-4|vilnius-mixed-stop-6|vilnius-mixed-stop-5","240.151","152.151","93.828","55.47","0","0","36.501","0.049","Sintetinė matrica: rezultatai nėra realaus kelių tiekėjo duomenys."
"vilnius-mixed","Mišrus miesto ir užmiesčio maršrutas","morning","07:30","2026-08-03T04:30:00.000Z","Europe/Vilnius","synthetic:asymmetric","synthetic","success","","1","0.154","169.166","false","0","0","","","vilnius-mixed-stop-1|vilnius-mixed-stop-2|vilnius-mixed-stop-8|vilnius-mixed-stop-4|vilnius-mixed-stop-6|vilnius-mixed-stop-5|vilnius-mixed-stop-7|vilnius-mixed-stop-3","274.267","186.267","146.137","127.321","0","0","47.239","0.043","Sintetinė matrica: rezultatai nėra realaus kelių tiekėjo duomenys."
"vilnius-center","Miesto centras, trumpos atkarpos","midday","10:30","2026-08-03T07:30:00.000Z","Europe/Vilnius","synthetic:city_traffic","synthetic","success","","1","0.196","62.185","false","0","0","","","vilnius-center-stop-3|vilnius-center-stop-4|vilnius-center-stop-5|vilnius-center-stop-6|vilnius-center-stop-1|vilnius-center-stop-2","138.343","80.343","31.965","12.975","0","0","5.985","0.105","Sintetinė matrica: rezultatai nėra realaus kelių tiekėjo duomenys."
"vilnius-center","Miesto centras, trumpos atkarpos","midday","10:30","2026-08-03T07:30:00.000Z","Europe/Vilnius","synthetic:asymmetric","synthetic","success","","1","0.083","63","false","0","0","","","vilnius-center-stop-3|vilnius-center-stop-4|vilnius-center-stop-1|vilnius-center-stop-5|vilnius-center-stop-6|vilnius-center-stop-2","119.49","61.49","48.837","27.995","0","0","6.287","0.062","Sintetinė matrica: rezultatai nėra realaus kelių tiekėjo duomenys."
"vilnius-east","Rytinė Vilniaus dalis","midday","10:30","2026-08-03T07:30:00.000Z","Europe/Vilnius","synthetic:city_traffic","synthetic","success","","1","0.14","89.242","false","0","0","","","vilnius-east-stop-1|vilnius-east-stop-6|vilnius-east-stop-5|vilnius-east-stop-4|vilnius-east-stop-3|vilnius-east-stop-2|vilnius-east-stop-7","186.102","110.102","43.806","35.324","0","0","7.82","0.049","Sintetinė matrica: rezultatai nėra realaus kelių tiekėjo duomenys."
